result,table,_time,moisture
mean,0,2024-06-18 08:00:00+00:00,2320.0
mean,0,2024-06-18 10:00:00+00:00,2258.0
mean,0,2024-06-18 12:00:00+00:00,2258.0
mean,0,2024-06-18 14:00:00+00:00,2261.0
mean,0,2024-06-18 16:00:00+00:00,2245.0
mean,0,2024-06-18 18:00:00+00:00,2266.0
mean,0,2024-06-18 20:00:00+00:00,2262.0
mean,0,2024-06-18 22:00:00+00:00,2277.0
mean,0,2024-06-19 00:00:00+00:00,2291.0
mean,0,2024-06-19 02:00:00+00:00,2290.0
mean,0,2024-06-19 04:00:00+00:00,2289.0
mean,0,2024-06-19 06:00:00+00:00,2294.0
mean,0,2024-06-19 08:00:00+00:00,2304.0
mean,0,2024-06-19 10:00:00+00:00,2319.0
mean,0,2024-06-19 12:00:00+00:00,2335.0
mean,0,2024-06-19 14:00:00+00:00,2339.0
mean,0,2024-06-19 16:00:00+00:00,2381.0
mean,0,2024-06-19 18:00:00+00:00,2394.0
mean,0,2024-06-19 20:00:00+00:00,2399.0
mean,0,2024-06-19 22:00:00+00:00,2480.0
mean,0,2024-06-20 00:00:00+00:00,2406.0
mean,0,2024-06-20 02:00:00+00:00,2419.0
mean,0,2024-06-20 04:00:00+00:00,2423.0
mean,0,2024-06-20 06:00:00+00:00,2481.0
mean,0,2024-06-20 08:00:00+00:00,2436.0
mean,0,2024-06-20 10:00:00+00:00,2423.0
mean,0,2024-06-20 12:00:00+00:00,2430.0
mean,0,2024-06-20 14:00:00+00:00,2447.0
mean,0,2024-06-20 16:00:00+00:00,2451.0
mean,0,2024-06-20 18:00:00+00:00,2459.0
mean,0,2024-06-20 20:00:00+00:00,2474.0
mean,0,2024-06-20 22:00:00+00:00,2480.0
mean,0,2024-06-21 00:00:00+00:00,2517.0
mean,0,2024-06-21 02:00:00+00:00,2496.0
mean,0,2024-06-21 04:00:00+00:00,2506.0
mean,0,2024-06-21 06:00:00+00:00,2496.0
mean,0,2024-06-21 08:00:00+00:00,2526.0
mean,0,2024-06-21 10:00:00+00:00,2512.0
mean,0,2024-06-21 12:00:00+00:00,2554.0
mean,0,2024-06-21 14:00:00+00:00,2559.0
mean,0,2024-06-21 16:00:00+00:00,2591.0
mean,0,2024-06-21 18:00:00+00:00,1954.0
mean,0,2024-06-21 20:00:00+00:00,1957.0
mean,0,2024-06-21 22:00:00+00:00,1974.0
mean,0,2024-06-22 00:00:00+00:00,1970.0
mean,0,2024-06-22 02:00:00+00:00,1972.0
mean,0,2024-06-22 04:00:00+00:00,1961.0
mean,0,2024-06-22 06:00:00+00:00,1988.0
mean,0,2024-06-22 08:00:00+00:00,1971.0
mean,0,2024-06-22 10:00:00+00:00,1945.0
mean,0,2024-06-22 12:00:00+00:00,1983.0
mean,0,2024-06-22 14:00:00+00:00,1965.0
mean,0,2024-06-22 16:00:00+00:00,1988.0
mean,0,2024-06-22 18:00:00+00:00,2032.0
mean,0,2024-06-22 20:00:00+00:00,1969.0
mean,0,2024-06-22 22:00:00+00:00,1971.0
mean,0,2024-06-23 00:00:00+00:00,1987.0
mean,0,2024-06-23 02:00:00+00:00,1952.0
mean,0,2024-06-23 04:00:00+00:00,1968.0
mean,0,2024-06-23 06:00:00+00:00,1962.0
mean,0,2024-06-23 08:00:00+00:00,1951.0
mean,0,2024-06-23 10:00:00+00:00,1955.0
mean,0,2024-06-23 12:00:00+00:00,1954.0
mean,0,2024-06-23 14:00:00+00:00,1964.0
mean,0,2024-06-23 16:00:00+00:00,2003.0
mean,0,2024-06-23 18:00:00+00:00,1941.0
mean,0,2024-06-23 20:00:00+00:00,1951.0
mean,0,2024-06-23 22:00:00+00:00,1966.0
mean,0,2024-06-24 00:00:00+00:00,1951.0
mean,0,2024-06-24 02:00:00+00:00,1968.0
mean,0,2024-06-24 04:00:00+00:00,1965.0
mean,0,2024-06-24 06:00:00+00:00,1967.0
mean,0,2024-06-24 08:00:00+00:00,2098.0
mean,0,2024-06-24 10:00:00+00:00,2035.0
mean,0,2024-06-24 12:00:00+00:00,2061.0
mean,0,2024-06-24 14:00:00+00:00,1991.0
mean,0,2024-06-24 16:00:00+00:00,1987.0
mean,0,2024-06-24 18:00:00+00:00,2015.0
mean,0,2024-06-24 20:00:00+00:00,2016.0
mean,0,2024-06-24 22:00:00+00:00,2013.0
mean,0,2024-06-25 00:00:00+00:00,2061.0
mean,0,2024-06-25 02:00:00+00:00,2037.0
mean,0,2024-06-25 04:00:00+00:00,2014.0
mean,0,2024-06-25 06:00:00+00:00,2020.0
mean,0,2024-06-25 08:00:00+00:00,2032.0
mean,0,2024-06-25 10:00:00+00:00,2037.0
mean,0,2024-06-25 12:00:00+00:00,2097.0
mean,0,2024-06-25 14:00:00+00:00,2058.0
mean,0,2024-06-25 16:00:00+00:00,2064.0
mean,0,2024-06-25 18:00:00+00:00,2083.0
mean,0,2024-06-25 20:00:00+00:00,2094.0
mean,0,2024-06-25 22:00:00+00:00,2128.0
mean,0,2024-06-26 00:00:00+00:00,2105.0
mean,0,2024-06-26 02:00:00+00:00,2139.0
mean,0,2024-06-26 04:00:00+00:00,2112.0
mean,0,2024-06-26 06:00:00+00:00,2115.0
mean,0,2024-06-26 08:00:00+00:00,2243.0
mean,0,2024-06-26 10:00:00+00:00,2160.0
mean,0,2024-06-26 12:00:00+00:00,2115.0
